Tipo aloxamento,Ano,Establecementos,
Campamentos de turismo,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,1,
,2021,1,
,2022,1,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,1,
,2010,1,
,2011,1,
,2012,1,
,2013,1,
,2017,1,
,2018,1,
,2019,1,
,2020,1,
,2021,1,
,2022,1,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,2,
,2019,4,
,2020,6,
,2021,7,
,2022,7,
1502,Barbanza,,
Hoteis,,,
,2003,6,
,2004,6,
,2005,6,
,2006,7,
,2007,9,
,2008,10,
,2009,10,
,2010,10,
,2011,11,
,2012,11,
,2013,11,
,2017,9,
,2018,9,
,2019,9,
,2020,9,
,2021,9,
,2022,9,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,22,
,2010,22,
,2011,23,
,2012,24,
,2013,25,
,2017,25,
,2018,25,
,2019,25,
,2020,25,
,2021,24,
,2022,24,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Turismo rural,,,
,2003,10,
,2004,11,
,2005,12,
,2006,13,
,2007,13,
,2008,13,
,2009,13,
,2010,12,
,2011,12,
,2012,12,
,2013,11,
,2017,11,
,2018,11,
,2019,11,
,2020,12,
,2021,12,
,2022,12,
